,Job Title,Company Job Title,Company Link,Company Name,Company Location
0,Data Science,SCM coordinator & MIS preparation,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjJm6hPlSROlrBxtUzD638n9DXL7TVRZH3Yudg4veEcoUYL_QpOn3D4TnMVIYw_eXfhLxKjPxNxGrUJ_eOYilVmnPlmmSr3CNc9gRScRR5k_vosL9JJmecO6IEL61CmS0GmVNpi8QE_xjHDmmBnia0ux3Km_srptMQel9DzsxAc9zUY9cSHhxBFPtemjcDHcjhXBG_U4DKFY9KBoCJrtmA_inSjjKJjNK7mFNKOJfjlW0Qw6EAgjITcRzbMcrAUQR1P3muw7BdYDIzxhjgsbuNRT6CTi_LOTvLQbKysLtqt0_m5LxP5HoN2T32_8_e9P-DKAdAkc__-0NHqwetNLyxuaxbJISaEQDWdB9S2fWaL4IoNpPOVlkxlDPng4xlkZOqX9MqC9Um_WbxzDMWR6uHm-MtIa2YyT77UT7Rpos96nLEGCUZSA_MPvouB0rcoxWdvSZc4h5k2YyGNu9n3C3uzbgOimkNP4qlgs_bnO98jY-B6EM42QtA1MURkkf_1azF6qYXJ_ppsX6s5HOfXQxTUAIo1MldRr4ArFCxH0wRENdwDVn0Iusb3se1H9UKdns=&xkcb=SoDU-_M3QCnON_AGET0LbzkdCdPP&p=0&fvj=1&vjs=3,,"Vapi, Gujarat"
1,Data Science,Data Science ( AI/ML) - Marketing Analytics,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDWxR1OzXszzdwWu6yBqABmrSAkWxId78KtjnHlCHJozBgJ3xuQK3yuscK9fboxdATwjgYW_5EXyb8y1i7YTi3jy5OHUYZAds1o_J4el5OttooM5WYWPgg3xVQLuak5smSlcZNBuy5voN8JxDfXJ2UPqnwFAu_L1DgWXqF-wU8jyUGmpxLjDk5aupuyZ35-3UG2I33nEKhlbqmDSovgby4cn-uIL8SDynfyNRFaK8tLPeK61c28cLtkOBAduTxI7ayGn-OzhI9gyKgON88m5bOVuPkepyGMhYuCzNA3f8kqRFvgsvszuoNOySoPLNWEqY3jMOy90rfBg49y7ymrD1f3qcKx5jOeEVMbCDZDL3_6daf1Y1kEC6LTt3lMnusX_xA7TvNjOt3Tdj2EFGvMF7Ld9eKUfPR75pai5OSreSxMCWvrLcxvNKjN7U-hKvzpRacy5jhWQSKW0rre5ToLWYWDV7yp6MvPzDnRRzjVa9WQNQ-LPJiBdE6xKlyE_ocJAK0MuwMzGXSNtQJUWvPDPIMJjlewrhWUJI=&xkcb=SoBg-_M3QCnON_AGET0KbzkdCdPP&p=1&fvj=1&vjs=3,,
2,Data Science,"Team Lead, Software Engineering",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUkGQXKvz_vqTVnr0Vn5RYEtDOUY0w86cUTSPT2moMg1hz6LtadXLtghczIzGeDKjMiogcHUWgusAQk_IWGU889KdkutLHWy6Q6Kf2ISbolaxvGBytqc5_OyNQrN6rz9DbvbaQAicghvlgRH1ao82DufC4-OwvWQ3_YA4Om7vLywoZPaXlzII-mE4UFaKte5s8z9ZlvuyKVMYDKD3JbOtJXva_1V4dri8cj_f5st77vUWVBBb7lai3w5cTP23OgrJJU2tqsU5BT7I2bDa6eOs7v4SsLlCwQYSWLp7wssOqbzmNi_gV6UeKyWo-titCi2RX6wUx8eycD_2P9HBeaRmjSL8kGUK-cedsXjm_L41KZnfOzabs28Xx8T9zO7RR_o20DnuYH1Vll5AgSx-uIZ0KVTPNk_i5TunwK7WKNmSoiN-QrVsvwfc70rimzL8l1GgTJIGlNI3TBnfF0Z2L34NA7mHRMsneC0buHENycfia80N5krb_ejMz2Xe_fGvs2aOKaQcnwBcEoBaw_Fw7RU1SqECqlrCQ4cLk4o-g96QnigJ5Vkflg6NNxniZXbbmwnC0j38HZitj3Y3aOKFqn6svhIWLa9PHheFY-7bXRd6jlIQCoXaXdtW-FFYSaTM5PCI=&xkcb=SoD9-_M3QCnON_AGET0JbzkdCdPP&p=2&fvj=0&vjs=3,,"Bengaluru, Karnataka"
3,Data Science,Sales Engineer,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPLKAPB3yxKuRq4ncd5RTzhIL8EME8vDjAtAzwGHMszzdWjGyggn11V511q_c3FId-da9vEdexohBOs9ms6_-mSwTHoqSs2qas5tUI9_KR6NVf4UF7wXRNO61d11dQu84SpHgmqx6Lkc8eWJcpX8ZUzdK55OAvtXCPP5FiwLTPNRCEbzQZBR1lf9RpqpobsDip286ntHI2L83huFtVDn50RyV_lKRCAQiOc3z20soe-3G4_WXOqyu7j_vjfC4YiOevX7W3euerPOlyTBkVE8sRpOQeTOw1oCN6IcLy3jiQ3yQeIj6c-nTdWLcrMs0kvZLHoOqmiLCr_nTiPKlL6GzLE7QUvE9Z1dyLpa7prM4Zsszhxv9YHUDvbkpwlxhqHWFMzsviKZjqdnktAFUvvPKYDAOeSSyQo2PSByV3Z-rYBWlKbiOmBxnk5_4L9j2dBAZFqZlPdqETRJUfI9LIRUZki9nBtSPGK_LuP1OGUvFukhgS7H5cs12YtQ6fgcKtjV2wjqbcyId34ascc7iww6JPVBpUK7T4VqE=&xkcb=SoBJ-_M3QCnON_AGET0IbzkdCdPP&p=3&fvj=1&vjs=3,,"Remote in Bengaluru, Karnataka"
4,Data Science,Software Developer,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFBkbdzJB0XriEqBr85eM1YszeYmvqY5p3ViZsbgWnbb-x96T_Psbs6_wVHfh4s2Td6tUcJ13t6-ZFibqfa9hvQzww1KWvvE-4GVJzCS6oVIbwLZuLl6jMO_TBBVKW9eFvOMTnz9M8an0uA5zO7eE_5wJvTJCVpZ4o3EEu7zwK2i5oL756RIWVRq-mQfYAIZJ4KM0YWcY03burotmn5h_oRs_PASG4RaKcpm8Yn2YeMxXksPx79L4vg3hx6PKdhp9bDDcJBXXXUxJ9Xs5LtWNKbeAn4G6Pe4cZTan6Z1oigLPOQ7BdU00XaTN_D0kl2vD9EtvSnZIUAZtJ4b2Z8zq-F64f0yNhaS4A0_tsXds7f94aPXXH1ObfJtjuQACtO12ZHT7wPRbUm9h317ryntVier0f3vb_cIQr6uzH2PPAhCsu_IFpmYTrWUrinHPZ1PunOt7VIS9zo7ASibBPoHF-JPIaqSVtkkSYeINB1Z99vJ0FW1VF818GdP3o_XghaeQAZ_r_UMKW5Q==&xkcb=SoDH-_M3QCnON_AGET0PbzkdCdPP&p=4&fvj=1&vjs=3,,"Jamnagar, Gujarat"
5,Data Science,Sr. PHP Developer,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjxIkUAm65iVK7RcxY5YHJNYrhEaFD2dNZgDNct8duGqqv-P_3b7vGvYZRdO5k4Qp3_8Ee1AvlbryKv2MIpvnB1bS76QA1zq8HLq3R5oE_ZKa_V7p3phK2Eay55vG6BALb4JcACcet4HjwQKmp3H3aFutW4Wqffw1Q_hYWMG7LmzAAD_hGftgkkIdKwNHxBslzyCR8lvBjze6mV8nB2WmkX9vcMejrCiKATDZcFqDhRUdgIhYqaXmXa7Mb85t7iUc7aFxiTuh-qUExbaqCYYTZkOFpI0sUprctJ3Lz8YM_c-QufGiCKlgRkFQDXTJAo6-dgvGQ5zRW2lnpNP7xRUGaV1PVoykJrR9yn6OnVA80yZX05gi_FlkKHvPt64mVgcYJpck26wiZSOw30RSDYH9w3LRMQ4806Q05tS5eFNrUQkkIzYI8HhX5kSH4cjmMnbyRCUB0tchsCpcd0XdwW0RsFuSOPUXbYrQnWLDMxmAcWSLUdVCYgWkBS_xUjIAjMxhrJkg_qlLZjw==&xkcb=SoCR-_M3QCnON_gGET0LbzkdCdPP&p=5&fvj=1&vjs=3,,Remote
6,Data Science,Service Desk Engineer,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHHWZXGq8N5ykkgKTPmGEg8BU0CHzVZ-63OgJhBv3tX1Hg0FlsxdTq1C4onM5tKfIsrPpS8yw_hzsU8iiYCxCXR6LnsJsuho7S3Qpt4BXw2NRP7TRjhcP-KF2UsIO_juA-XFx3uVpKuTbZcSmIjebpOR_7zUQj9Tz75ALllQ_w10AbJ1nqXWVYKkVS5iYUdw7LC1QPjjZpHGBka9iEdavyiTI0wY2Do221EB6qZTOKpxuC5MGUH3Iv124Ww0gTluH1hIATl3GuHiRvt2NAtw-xCQCWEACi30Autk4wjfNj64ciBB2HGLxEYcb7v_mprN7dxIIBgp48TPiZNmM3BeOTb6RYlI4kqWLJIpq2Et9_Xy62QjP7XaChYiaOoA2npZ8wus4jlaiK-5g2M12fco-S55yY5Sqw702oLxPsDAvXsimXRCfm-oIpgnQ2fFZDlt0QH9eRxe2dPsr0ochr0fB80Qwe2NcJvEHwWFnxzk0fng9IHCCfnuma1R0oIx1OYHIZThd_DEIsv6i_fdi5tifO2z0VUqUWWZqJiDJdjdR-KpAJfIA6FsUB8Mv28EJyoMN4KDp62SMTBYFXKQt46ooE8iCiT_wYxh1IA==&xkcb=SoAl-_M3QCnON_gGET0KbzkdCdPP&p=6&fvj=0&vjs=3,,"Hyderabad, Telangana"
7,Data Science,A&A Informatica IICS - Senior Analyst - Hyderabad,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vISrg9WCqQE5qP6qLPco_uA8X04b6owar7_oYELKqzDjIrGFEpWMnNzga2LHe5-5_J1mx-rPkPAI2KGOxYNxkoOQ5tVctZJDHtkx9lhAJA79-4lRimTnzjtVkMZ1yz9FkVehd_Fhgu21KOx_o_ej1XnDYjXWvtNrYwYhlvE5cJ1od7VmCKAbZU1fX16BRgvbq1NTd3bhH2Go5qMcUPNN5ygAgvSgA7bCHXKkb5zN4LPKUrhmUJbyQjHx0CdyX47Ky81xxyjwkhqpK_YdW6ebF4tDTuYWEJGtAClz2kr8ottqK3tFYRvv5Ha6X4c0Em1mBOgE1q1TfWK1zeVfujkQAK9u8CPMkD58TlO909AH_51_BW4hej0rL98MTirO6U020RegJyKlvnFTm2IwrIC9VOC9twYR8-A6jSNhc3CUw-CcIfm67jFjXQxoDMIfVxEJ_4Dn9Da78rY5qAM6ANzunpu9PtWt_Shcxu6jqSHk15C0UzHPLR9NQR_SGlffRRXFUb26Phatwvw9hUb2JRQdpYahLOi6PouQqE4PurUpwDwuA==&xkcb=SoC4-_M3QCnON_gGET0JbzkdCdPP&p=7&fvj=0&vjs=3,,"Hyderabad, Telangana"
8,Data Science,Data Science,https://in.indeed.com/rc/clk?jk=87a38e048bc40e5e&fccid=9b58c0acb36ad6d6&vjs=3,,"Bengaluru, Karnataka"
9,Data Science,Data Science Intern,https://in.indeed.com/company/UpTricks/jobs/Data-Science-Intern-2d794ae768fa7ab8?fccid=cd977f811603ff09&vjs=3,,
